"Temperature","Chlorophyll","depth_category"
8.386,5.35,"0-1000"
8.2629,5.49,"0-1000"
8.4985,5.49,"0-1000"
8.4757,5.75,"0-1000"
8.2094,5.8,"0-1000"
8.2775,6.01,"0-1000"
8.2079,6.14,"0-1000"
8.1122,6.5,"0-1000"
8.1427,6.61,"0-1000"
11.4673,13.44,"1000-2000"
11.3078,19.03,"1000-2000"
11.3118,10.05,"1000-2000"
11.0378,NA,"2000-3000"
11.1444,6.96,"2000-3000"
11.522,7.05,"2000-3000"
11.53,7.21,"2000-3000"
11.4329,6.99,"2000-3000"
11.5038,6.94,"2000-3000"
11.2306,6.84,"2000-3000"
11.5944,7.31,"2000-3000"
10.935,7.03,"3000-4000"
10.7449,6.82,"3000-4000"
13.1307,7.31,"3000-4000"
12.9644,8.02,"5000-6000"
12.9065,10.25,"5000-6000"
13.1259,11.44,"5000-6000"
12.9857,10.76,"5000-6000"
12.7194,9.8,"5000-6000"
13.1717,9.43,"5000-6000"
13.1063,9.36,"5000-6000"
13.2758,9.52,"5000-6000"
13.2364,9.48,"5000-6000"
13.2755,9.46,"5000-6000"
12.6748,9.63,"5000-6000"
13.8267,9.45,"5000-6000"
13.8716,9.95,"5000-6000"
12.624,10.1,"5000-6000"
11.9786,10.06,"5000-6000"
12.6326,10.14,"5000-6000"
18.309,10.43,"5000-6000"
17.9404,10.99,"5000-6000"
17.7697,11.07,"5000-6000"
17.7284,11.73,"5000-6000"
17.5556,10.55,"4000-5000"
20.0642,16.2,"5000-6000"
19.9227,13.44,"5000-6000"
19.9244,17.65,"5000-6000"
19.9516,18.38,"5000-6000"
19.6306,12.09,"5000-6000"
19.0571,21.84,"5000-6000"
19.173,23.27,"5000-6000"
19.3485,12.98,"5000-6000"
19.1703,15.78,"5000-6000"
19.2664,16.57,"5000-6000"
19.2797,17.37,"5000-6000"
19.5447,19.87,"5000-6000"
19.4009,24.08,"5000-6000"
19.2442,6.9,"5000-6000"
19.5938,7.02,"5000-6000"
20.2776,6.7,"5000-6000"
20.478,6.68,"5000-6000"
20.4795,6.59,"5000-6000"
20.359,6.59,"5000-6000"
21.2741,6.5,"5000-6000"
21.292,7.72,"5000-6000"
21.3094,8.34,"5000-6000"
21.3336,8.33,"5000-6000"
21.2407,8.07,"5000-6000"
21.3021,7.49,"5000-6000"
20.9699,5.6,"5000-6000"
20.9599,5.6,"5000-6000"
20.9422,5.66,"5000-6000"
20.8838,5.66,"5000-6000"
20.9401,5.76,"5000-6000"
20.9493,5.72,"5000-6000"
21.1424,5.77,"5000-6000"
21.1286,5.79,"5000-6000"
21.0048,5.71,"5000-6000"
20.9024,5.71,"5000-6000"
20.7686,5.62,"5000-6000"
20.4894,4.76,"4000-5000"
20.2004,4.76,"4000-5000"
20.47,4.62,"4000-5000"
20.4819,4.27,"4000-5000"
20.7771,4.23,"4000-5000"
20.6162,4.65,"4000-5000"
20.637,4.29,"4000-5000"
21.5912,4.58,"4000-5000"
21.1415,4.2,"4000-5000"
21.5132,4.15,"4000-5000"
21.981,4.14,"4000-5000"
22.1823,4.23,"4000-5000"
22.0556,3.92,"4000-5000"
21.8264,4.03,"4000-5000"
22.2242,4.03,"4000-5000"
22.2365,3.85,"4000-5000"
22.1757,3.81,"4000-5000"
22.2298,4.03,"4000-5000"
22.2436,3.69,"4000-5000"
22.3775,3.32,"4000-5000"
22.8686,3.14,"3000-4000"
22.8739,3.74,"3000-4000"
22.833,3.17,"3000-4000"
22.6417,3.09,"4000-5000"
22.8003,3.06,"4000-5000"
22.9491,3.12,"4000-5000"
22.862,3.11,"4000-5000"
22.9014,3.04,"4000-5000"
22.885,3.18,"4000-5000"
23.0101,3.02,"4000-5000"
22.8119,3.05,"4000-5000"
22.7009,2.95,"4000-5000"
22.7309,2.95,"4000-5000"
22.6126,2.96,"4000-5000"
22.6285,3,"4000-5000"
24.6779,2.71,"4000-5000"
24.8572,2.82,"4000-5000"
24.7066,2.84,"4000-5000"
24.6284,2.84,"3000-4000"
24.9733,2.8,"4000-5000"
24.8768,2.73,"4000-5000"
24.8863,2.71,"4000-5000"
25.1326,2.73,"4000-5000"
25.0989,2.69,"4000-5000"
25.1962,2.73,"4000-5000"
25.3594,2.73,"4000-5000"
25.6412,2.65,"4000-5000"
25.8348,2.67,"4000-5000"
25.8491,2.66,"4000-5000"
25.8229,2.6,"4000-5000"
25.9059,2.61,"4000-5000"
25.8526,2.76,"4000-5000"
25.7101,2.77,"2000-3000"
25.6465,2.64,"1000-2000"
25.6799,2.58,"3000-4000"
26.1409,1.95,"4000-5000"
26.4198,1.93,"4000-5000"
26.5525,1.92,"4000-5000"
26.567,1.91,"3000-4000"
26.5951,1.9,"3000-4000"
26.5515,1.89,"3000-4000"
26.611,1.89,"3000-4000"
26.525,1.91,"2000-3000"
26.5426,1.9,"2000-3000"
26.5506,1.9,"2000-3000"
26.6532,1.88,"3000-4000"
26.6746,1.9,"3000-4000"
26.7064,1.89,"3000-4000"
26.9768,1.69,"4000-5000"
27.0782,1.7,"4000-5000"
27.1226,1.65,"4000-5000"
27.2156,1.68,"4000-5000"
26.987,1.63,"4000-5000"
27.1035,1.65,"4000-5000"
27.3034,1.63,"4000-5000"
27.2437,1.64,"4000-5000"
27.1166,1.64,"4000-5000"
27.2598,1.68,"4000-5000"
27.2577,1.65,"4000-5000"
27.2184,1.71,"4000-5000"
27.2722,1.88,"4000-5000"
27.2402,1.67,"4000-5000"
27.1814,1.8,"3000-4000"
27.207,1.67,"3000-4000"
27.2104,1.7,"3000-4000"
27.3188,1.58,"4000-5000"
27.3604,1.84,"4000-5000"
27.3751,1.58,"4000-5000"
27.291,1.59,"4000-5000"
