"site","species","abundance"
"NM01","A_amazonica",0
"NM01","A_barbadensis",0
"NM01","A_farinosa",0
"NM01","A_ochrocephala",0
"NM02","A_amazonica",0
"NM02","A_barbadensis",0
"NM02","A_farinosa",0
"NM02","A_ochrocephala",0
"NM03","A_amazonica",1
"NM03","A_barbadensis",0
"NM03","A_farinosa",0
"NM03","A_ochrocephala",3
"NM05","A_amazonica",0
"NM05","A_barbadensis",0
"NM05","A_farinosa",10
"NM05","A_ochrocephala",11
"NM07","A_amazonica",4
"NM07","A_barbadensis",0
"NM07","A_farinosa",2
"NM07","A_ochrocephala",8
"NM08","A_amazonica",8
"NM08","A_barbadensis",0
"NM08","A_farinosa",0
"NM08","A_ochrocephala",2
"NM09","A_amazonica",0
"NM09","A_barbadensis",1
"NM09","A_farinosa",0
"NM09","A_ochrocephala",0
"NM14","A_amazonica",4
"NM14","A_barbadensis",0
"NM14","A_farinosa",0
"NM14","A_ochrocephala",0
"NM16","A_amazonica",3
"NM16","A_barbadensis",0
"NM16","A_farinosa",0
"NM16","A_ochrocephala",27
"NM18","A_amazonica",0
"NM18","A_barbadensis",0
"NM18","A_farinosa",3
"NM18","A_ochrocephala",14
"NM19","A_amazonica",0
"NM19","A_barbadensis",0
"NM19","A_farinosa",0
"NM19","A_ochrocephala",30
"NM21","A_amazonica",22
"NM21","A_barbadensis",0
"NM21","A_farinosa",0
"NM21","A_ochrocephala",0
"NM22","A_amazonica",10
"NM22","A_barbadensis",0
"NM22","A_farinosa",1
"NM22","A_ochrocephala",4
"NM23","A_amazonica",16
"NM23","A_barbadensis",0
"NM23","A_farinosa",0
"NM23","A_ochrocephala",0
"NM24","A_amazonica",5
"NM24","A_barbadensis",0
"NM24","A_farinosa",1
"NM24","A_ochrocephala",8
"NM25","A_amazonica",0
"NM25","A_barbadensis",0
"NM25","A_farinosa",0
"NM25","A_ochrocephala",0
"NM26","A_amazonica",0
"NM26","A_barbadensis",0
"NM26","A_farinosa",0
"NM26","A_ochrocephala",0
"NM34","A_amazonica",2
"NM34","A_barbadensis",0
"NM34","A_farinosa",0
"NM34","A_ochrocephala",3
"NM36","A_amazonica",1
"NM36","A_barbadensis",0
"NM36","A_farinosa",0
"NM36","A_ochrocephala",0
"NM45","A_amazonica",0
"NM45","A_barbadensis",0
"NM45","A_farinosa",0
"NM45","A_ochrocephala",0
"NM57","A_amazonica",0
"NM57","A_barbadensis",0
"NM57","A_farinosa",0
"NM57","A_ochrocephala",0
"NM66","A_amazonica",0
"NM66","A_barbadensis",5
"NM66","A_farinosa",0
"NM66","A_ochrocephala",0
"NM75","A_amazonica",1
"NM75","A_barbadensis",0
"NM75","A_farinosa",0
"NM75","A_ochrocephala",9
"NM80","A_amazonica",0
"NM80","A_barbadensis",0
"NM80","A_farinosa",0
"NM80","A_ochrocephala",0
"NM90","A_amazonica",7
"NM90","A_barbadensis",0
"NM90","A_farinosa",0
"NM90","A_ochrocephala",0
"NM93","A_amazonica",17
"NM93","A_barbadensis",0
"NM93","A_farinosa",0
"NM93","A_ochrocephala",12
"NM96","A_amazonica",0
"NM96","A_barbadensis",0
"NM96","A_farinosa",0
"NM96","A_ochrocephala",19
